generation,best_fitness,mean_fitness,fitness_std,best_completion_ratio,best_mean_response,best_energy,jobs_in_snapshot,satellites_in_snapshot,stagnation_generations,world_reset
95,0.6,0.5562324929971989,0.0835689041449636,1.0,23.4,336.0,20,10,6,0
96,0.6,0.5696869747899159,0.07126973101631141,1.0,23.4,336.0,20,10,7,0
97,0.6,0.5540266106442577,0.08610408616144052,1.0,23.4,336.0,20,10,8,0
98,0.6,0.5481554621848739,0.08955316740479155,1.0,23.4,336.0,20,10,9,0
99,0.6,0.5473228346456692,0.0964167566369141,1.0,23.4,336.0,20,10,0,1
100,0.6,0.5518101300858013,0.08625861641504041,1.0,23.4,336.0,20,10,0,0
101,0.6,0.5569210950080515,0.08861442427690842,1.0,23.4,336.0,20,10,1,0
102,0.6,0.5442945030361137,0.09893203424825078,1.0,23.4,336.0,20,10,2,0
103,0.6,0.5565637254901961,0.08387503118850187,1.0,23.4,336.0,20,10,3,0
104,0.6,0.5592198879551821,0.08387008202342709,1.0,23.4,336.0,20,10,4,0
105,0.6,0.5591184334696445,0.08742853352130067,1.0,23.4,336.0,20,10,5,0
106,0.6,0.5514046104928457,0.09365209148923885,1.0,23.4,336.0,20,10,6,0
107,0.6,0.5585063025210083,0.08292512384838524,1.0,23.4,336.0,20,10,7,0
108,0.6,0.5500755743651753,0.09175620400964987,1.0,23.4,336.0,20,10,8,0
109,0.6,0.552009279647688,0.09236053931839842,1.0,23.4,336.0,20,10,9,0
110,0.6,0.5422188449848024,0.09687705198154833,1.0,23.4,336.0,20,10,0,1
111,0.6,0.5523961937716263,0.09265205080904566,1.0,23.4,336.0,20,10,0,0
112,0.6,0.5562913165266107,0.0835857566914648,1.0,23.4,336.0,20,10,1,0
113,0.6,0.5645329131652661,0.07639212459559631,1.0,23.4,336.0,20,10,2,0
114,0.6,0.5543158225857188,0.09099654907127248,1.0,23.4,336.0,20,10,3,0
115,0.6,0.5571848739495798,0.08416198994274322,1.0,23.4,336.0,20,10,4,0
116,0.6,0.5570877616747182,0.09018557259728391,1.0,23.4,336.0,20,10,5,0
117,0.6,0.5739806287710384,0.07260061739023888,1.0,23.4,336.0,20,10,6,0
118,0.6,0.5617584145957848,0.0834463187120254,1.0,23.4,336.0,20,10,7,0
119,0.6,0.5608231434536236,0.08264380512865328,1.0,23.4,336.0,20,10,8,0
120,0.6,0.5470673611111111,0.0929516951780742,1.0,23.4,336.0,20,10,9,0
121,0.6,0.5509921145799807,0.09428962278989232,1.0,23.4,336.0,20,10,0,1
122,0.6,0.5416907832651777,0.09978170615966515,1.0,23.4,336.0,20,10,0,0
123,0.6,0.5517041800643087,0.09445335841827841,1.0,23.4,336.0,20,10,1,0
124,0.6,0.5575408933626926,0.08707377843913441,1.0,23.4,336.0,20,10,2,0
125,0.6,0.5604152661064425,0.07969684984889057,1.0,23.4,336.0,20,10,3,0
126,0.6,0.5646351540616247,0.07669864369620077,1.0,23.4,336.0,20,10,4,0
127,0.6,0.5550990338164251,0.09165000591511309,1.0,23.4,336.0,20,10,5,0
128,0.6,0.5443317522321428,0.0925105411038126,1.0,23.4,336.0,20,10,6,0
129,0.6,0.5309649260773828,0.10769472050434334,1.0,23.4,336.0,20,10,7,0
130,0.6,0.5520276850306065,0.08775223692765995,1.0,23.4,336.0,20,10,8,0
131,0.6,0.5725401328535843,0.06764534029570117,1.0,23.4,336.0,20,10,9,0
132,0.6,0.5593774509803922,0.08026692579117549,1.0,23.4,336.0,20,10,0,1
133,0.6,0.5617238125196602,0.08470603155709099,1.0,23.4,336.0,20,10,0,0
134,0.6,0.5554257849666984,0.09214025449995863,1.0,23.4,336.0,20,10,1,0
135,0.6,0.5717471988795517,0.07144157992093529,1.0,23.4,336.0,20,10,2,0
136,0.6,0.555280112044818,0.0840029758575394,1.0,23.4,336.0,20,10,3,0
